Date,Open,High,Low,Close,Adj Close,Volume
01-06-2023,27218.41211,27346.10547,26671.7207,26819.97266,26819.97266,14678970415
02-06-2023,26824.55664,27303.86133,26574.64453,27249.58984,27249.58984,14837415000
03-06-2023,27252.32422,27317.05273,26958.00391,27075.12891,27075.12891,8385597470
04-06-2023,27075.12305,27407.01953,26968.22461,27119.06641,27119.06641,9360912318
05-06-2023,27123.10938,27129.98242,25445.16797,25760.09766,25760.09766,21513292646
06-06-2023,25732.10938,27313.82031,25434.86719,27238.7832,27238.7832,21929670693
07-06-2023,27235.65039,27332.18164,26146.98828,26345.99805,26345.99805,19530045082
08-06-2023,26347.6543,26797.51367,26246.66406,26508.2168,26508.2168,11904824295
09-06-2023,26505.92383,26770.28906,26339.31445,26480.375,26480.375,11015551640
10-06-2023,26481.76172,26531.04492,25501.83594,25851.24023,25851.24023,19872933189
11-06-2023,25854.03125,26203.43945,25668.98633,25940.16797,25940.16797,10732609603
12-06-2023,25934.28516,26087.91992,25675.19727,25902.5,25902.5,11677889997
13-06-2023,25902.94141,26376.35156,25728.36523,25918.72852,25918.72852,14143474486
14-06-2023,25920.25781,26041.80078,24902.15234,25124.67578,25124.67578,14265717766
15-06-2023,25121.67383,25735.30859,24797.16797,25576.39453,25576.39453,15837384409
16-06-2023,25575.2832,26463.17383,25245.35742,26327.46289,26327.46289,16324646965
17-06-2023,26328.67969,26769.39453,26174.49219,26510.67578,26510.67578,11090276850
18-06-2023,26510.45703,26675.92578,26325.89063,26336.21289,26336.21289,9565695129
19-06-2023,26335.44141,26984.61133,26312.83203,26851.0293,26851.0293,12826986222
20-06-2023,26841.66406,28388.96875,26668.79102,28327.48828,28327.48828,22211859147
21-06-2023,28311.31055,30737.33008,28283.41016,30027.29688,30027.29688,33346760979
22-06-2023,29995.93555,30495.99805,29679.1582,29912.28125,29912.28125,20653160491
23-06-2023,29896.38281,31389.53906,29845.21484,30695.46875,30695.46875,24115570085
24-06-2023,30708.73828,30804.14844,30290.14648,30548.69531,30548.69531,12147822496
25-06-2023,30545.15039,31041.27148,30327.94336,30480.26172,30480.26172,12703464114
26-06-2023,30480.52344,30636.0293,29955.74414,30271.13086,30271.13086,16493186997
27-06-2023,30274.32031,31006.78711,30236.65039,30688.16406,30688.16406,16428827944
28-06-2023,30696.56055,30703.2793,29921.82227,30086.24609,30086.24609,14571500779
29-06-2023,30086.1875,30796.25,30057.20313,30445.35156,30445.35156,13180860821
30-06-2023,30441.35352,31256.86328,29600.27539,30477.25195,30477.25195,26387306197
01-07-2023,30471.84766,30641.28906,30328.86523,30590.07813,30590.07813,9086606733
02-07-2023,30587.26953,30766.14063,30264.01953,30620.76953,30620.76953,10533418042
03-07-2023,30624.51563,31375.61328,30586.51367,31156.43945,31156.43945,15271884873
04-07-2023,31156.86523,31325.19727,30659.35547,30777.58203,30777.58203,12810828427
05-07-2023,30778.72461,30877.33008,30225.61328,30514.16602,30514.16602,12481622280
06-07-2023,30507.15039,31460.05273,29892.22656,29909.33789,29909.33789,21129219509
07-07-2023,29907.99805,30434.64453,29777.28516,30342.26563,30342.26563,13384770155
08-07-2023,30346.92188,30374.4375,30080.16016,30292.54102,30292.54102,7509378699
09-07-2023,30291.61133,30427.58984,30085.5918,30171.23438,30171.23438,7903327692
10-07-2023,30172.42383,31026.08398,29985.39453,30414.4707,30414.4707,14828209155
11-07-2023,30417.63281,30788.31445,30358.09766,30620.95117,30620.95117,12151839152
12-07-2023,30622.24609,30959.96484,30228.83594,30391.64648,30391.64648,14805659717
13-07-2023,30387.48828,31814.51563,30268.35156,31476.04883,31476.04883,23686079548
14-07-2023,31474.7207,31582.25391,29966.38672,30334.06836,30334.06836,20917902660
15-07-2023,30331.7832,30407.78125,30263.46289,30295.80664,30295.80664,8011667756
16-07-2023,30297.47266,30437.56055,30089.66992,30249.13281,30249.13281,8516564470
17-07-2023,30249.62695,30336.40039,29685.7832,30145.88867,30145.88867,13240156074
18-07-2023,30147.07031,30233.65625,29556.42773,29856.5625,29856.5625,13138897269
19-07-2023,29862.04688,30184.18164,29794.26953,29913.92383,29913.92383,12128602812
20-07-2023,29915.25,30195.53125,29638.0957,29792.01563,29792.01563,14655207121
21-07-2023,null,null,null,null,null,null
22-07-2023,29910.71875,29991.61523,29859.21094,29969.99414,29969.99414,10121291776
